Tag1,Tag2,Num_Occurrence
colour,preservation,2
design,mindstorms,1
mindstorms,size,1
trading,value,1
instructions,lego-store,1
motors,programming,9
shopping,star-wars,9
set-database,set-identification,4
annual-support,power-functions,1
boost,electronics,1
city,trains,8
creator,set-identification,5
part-identification,wooden-toys,1
gyro,sensor-ultrasonic,1
replacement-parts,star-wars,1
mindstorms,sensor-ultrasonic,3
3d-printing,ldd,1
discontinued,lego-group,1
building,disassembly,2
moc,scale,1
motor,robotic,1
city,power-functions,4
brick,vintage,1
legoland,shopping,1
architecture,instructions,1
disassembly,duplo,1
discontinued,trains,1
brick,design,2
customization,design,2
3rd-party,patent,1
building,city,3
inventory,organisation,1
robotic,technic,3
ev3,pathfinding,1
discontinued,safety,1
nxt,python,1
steering,technic,3
nxt,pc,1
motors,vehicle,2
minifigures,organisation,1
building,set-modification,1
challenge,design,1
vehicle,vintage,1
motor,nxt,4
lugbulk,pick-a-brick,1
plastics,safety,1
collectable-minifigures,part-identification,1
boost,powered-up,4
building,nxt,6
manufacturing,software,1
ev3,sensor-ultrasonic,4
clone-brands,set-identification,7
building,castle,4
annual-support,piece-information,2
lego-games,sets,1
customization,discontinued,1
organisation,shopping,2
castle,shopping,1
nxt,sets,1
mac,mindstorms,5
bionicle,piece-information,2
cad,snot,1
minifigures,part-identification,9
3rd-party,duplo,2
customization,minifigures,6
electronics,technic,5
ev3-g,sensor,1
glue,piece-information,1
disassembly,wheel,1
cad,monorail,1
minifigure-identification,ninjago,1
brick,ev3-g,1
history,part-identification,2
sets,size,1
bluetooth,software,2
motors,pneumatic,1
12v,trains,9
customization,remote-control,1
3rd-party,motors,1
bluetooth,robotic,1
fabuland,part-identification,1
lego-group,value,2
building,shapes,3
ev3,instructions,3
ldraw,terminology,1
9v,compatibility,2
star-wars,theme,1
bluetooth,lejos,2
ev3,ios,2
clone-brands,lego-group,1
colour,organisation,1
mac,nxt,1
minifigure-identification,minifigures,11
customization,trains,3
ldd,part-identification,2
